classname	QC;CnotQ;QnotC;notCnotQ	p_value	q_value
meo:MEO_0000116	0;993;57;172309	1.0	1.0
meo:MEO_0000117	0;570;57;172732	1.0	1.0
meo:MEO_0000119	0;99;57;173203	1.0	1.0
meo:MEO_0000120	0;274;57;173028	1.0	1.0
meo:MEO_0000121	0;8;57;173294	1.0	1.0
meo:MEO_0000122	0;409;57;172893	1.0	1.0
meo:MEO_0000123	0;4;57;173298	1.0	1.0
meo:MEO_0000124	0;4;57;173298	1.0	1.0
meo:MEO_0000125	0;292;57;173010	1.0	1.0
meo:MEO_0000126	0;824;57;172478	1.0	1.0
meo:MEO_0000127	0;26;57;173276	1.0	1.0
meo:MEO_0000128	0;127;57;173175	1.0	1.0
meo:MEO_0000129	0;35;57;173267	1.0	1.0
meo:MEO_0000131	0;51;57;173251	1.0	1.0
meo:MEO_0000132	0;115;57;173187	1.0	1.0
meo:MEO_0000133	0;97;57;173205	1.0	1.0
meo:MEO_0000135	0;2;57;173300	1.0	1.0
meo:MEO_0000142	0;51;57;173251	1.0	1.0
meo:MEO_0000143	0;1;57;173301	1.0	1.0
meo:MEO_0000144	0;34;57;173268	1.0	1.0
meo:MEO_0000147	0;47;57;173255	1.0	1.0
meo:MEO_0000148	0;790;57;172512	1.0	1.0
meo:MEO_0000150	0;3;57;173299	1.0	1.0
meo:MEO_0000151	0;146;57;173156	1.0	1.0
meo:MEO_0000152	0;33;57;173269	1.0	1.0
meo:MEO_0000153	0;1204;57;172098	1.0	1.0
meo:MEO_0000155	0;25;57;173277	1.0	1.0
meo:MEO_0000157	0;107;57;173195	1.0	1.0
meo:MEO_0000159	0;55;57;173247	1.0	1.0
meo:MEO_0000164	0;13;57;173289	1.0	1.0
meo:MEO_0000165	0;28;57;173274	1.0	1.0
meo:MEO_0000166	0;6;57;173296	1.0	1.0
meo:MEO_0000170	0;128;57;173174	1.0	1.0
meo:MEO_0000173	0;408;57;172894	1.0	1.0
meo:MEO_0000175	0;3716;57;169586	1.0	1.0
meo:MEO_0000176	0;449;57;172853	1.0	1.0
meo:MEO_0000177	0;88;57;173214	1.0	1.0
meo:MEO_0000181	0;125;57;173177	1.0	1.0
meo:MEO_0000189	0;44;57;173258	1.0	1.0
meo:MEO_0000190	0;4;57;173298	1.0	1.0
meo:MEO_0000191	0;150;57;173152	1.0	1.0
meo:MEO_0000192	0;85;57;173217	1.0	1.0
meo:MEO_0000193	0;3;57;173299	1.0	1.0
meo:MEO_0000196	0;335;57;172967	1.0	1.0
meo:MEO_0000197	0;57;57;173245	1.0	1.0
meo:MEO_0000198	0;593;57;172709	1.0	1.0
meo:MEO_0000199	0;135;57;173167	1.0	1.0
meo:MEO_0000200	0;139;57;173163	1.0	1.0
meo:MEO_0000201	0;3;57;173299	1.0	1.0
meo:MEO_0000202	0;102;57;173200	1.0	1.0
meo:MEO_0000203	0;61;57;173241	1.0	1.0
meo:MEO_0000204	0;143;57;173159	1.0	1.0
meo:MEO_0000205	0;866;57;172436	1.0	1.0
meo:MEO_0000207	0;19;57;173283	1.0	1.0
meo:MEO_0000208	0;5;57;173297	1.0	1.0
meo:MEO_0000211	0;5;57;173297	1.0	1.0
meo:MEO_0000213	0;118;57;173184	1.0	1.0
meo:MEO_0000214	0;1;57;173301	1.0	1.0
meo:MEO_0000220	0;31;57;173271	1.0	1.0
meo:MEO_0000224	0;7;57;173295	1.0	1.0
meo:MEO_0000227	0;214;57;173088	1.0	1.0
meo:MEO_0000228	0;33;57;173269	1.0	1.0
meo:MEO_0000230	0;93;57;173209	1.0	1.0
meo:MEO_0000246	0;1;57;173301	1.0	1.0
meo:MEO_0000248	0;11;57;173291	1.0	1.0
meo:MEO_0000251	0;1;57;173301	1.0	1.0
meo:MEO_0000254	0;1;57;173301	1.0	1.0
meo:MEO_0000259	0;216;57;173086	1.0	1.0
meo:MEO_0000266	0;160;57;173142	1.0	1.0
meo:MEO_0000273	0;10;57;173292	1.0	1.0
meo:MEO_0000287	0;33;57;173269	1.0	1.0
meo:MEO_0000288	0;6;57;173296	1.0	1.0
meo:MEO_0000296	0;9;57;173293	1.0	1.0
meo:MEO_0000301	0;34;57;173268	1.0	1.0
meo:MEO_0000304	0;7;57;173295	1.0	1.0
