classname	QC;CnotQ;QnotC;notCnotQ	p_value	q_value
meo:MEO_0000953	0;1;57;173301	1.0	1.0
meo:MEO_0000954	0;2;57;173300	1.0	1.0
meo:MEO_0000955	0;4;57;173298	1.0	1.0
meo:MEO_0000956	0;7;57;173295	1.0	1.0
meo:MEO_0000958	0;15;57;173287	1.0	1.0
meo:MEO_0000962	0;438;57;172864	1.0	1.0
meo:MEO_0000966	0;2;57;173300	1.0	1.0
meo:MEO_0000967	0;1;57;173301	1.0	1.0
meo:MEO_0000968	0;132;57;173170	1.0	1.0
meo:MEO_0000969	0;166;57;173136	1.0	1.0
meo:MEO_0000970	0;73;57;173229	1.0	1.0
meo:MEO_0000972	0;14;57;173288	1.0	1.0
meo:MEO_0000973	0;1;57;173301	1.0	1.0
meo:MEO_0000975	0;25;57;173277	1.0	1.0
meo:MEO_0000977	0;1;57;173301	1.0	1.0
meo:MEO_0000978	0;1117;57;172185	1.0	1.0
meo:MEO_0000979	0;2;57;173300	1.0	1.0
meo:MEO_0000980	0;27;57;173275	1.0	1.0
meo:MEO_0000982	0;4;57;173298	1.0	1.0
meo:MEO_0000987	0;5671;57;167631	1.0	1.0
meo:MEO_0000991	0;236;57;173066	1.0	1.0
meo:MEO_0000994	0;33;57;173269	1.0	1.0
meo:MEO_0000996	0;96;57;173206	1.0	1.0
meo:MEO_0001000	0;285;57;173017	1.0	1.0
meo:MEO_0001002	0;422;57;172880	1.0	1.0
meo:MEO_0001003	0;3;57;173299	1.0	1.0
meo:MEO_0001007	0;2;57;173300	1.0	1.0
meo:MEO_0001012	0;7;57;173295	1.0	1.0
meo:MEO_0001015	0;1;57;173301	1.0	1.0
meo:MEO_0001018	0;7;57;173295	1.0	1.0
meo:MEO_0001019	0;3;57;173299	1.0	1.0
meo:MEO_0001024	0;7;57;173295	1.0	1.0
meo:MEO_0001026	0;50;57;173252	1.0	1.0
meo:MEO_0001027	0;2;57;173300	1.0	1.0
meo:MEO_0001029	0;24;57;173278	1.0	1.0
meo:MEO_0001031	0;2;57;173300	1.0	1.0
meo:MEO_0001037	0;17;57;173285	1.0	1.0
meo:MEO_0001042	0;174;57;173128	1.0	1.0
meo:MEO_0001044	0;1;57;173301	1.0	1.0
meo:MEO_0001048	0;28;57;173274	1.0	1.0
meo:MEO_0001050	0;46;57;173256	1.0	1.0
meo:MEO_0001051	0;7;57;173295	1.0	1.0
meo:MEO_0001055	0;1;57;173301	1.0	1.0
meo:MEO_0001057	0;22;57;173280	1.0	1.0
meo:MEO_0001059	0;69;57;173233	1.0	1.0
meo:MEO_0001061	0;53;57;173249	1.0	1.0
meo:MEO_0001068	0;357;57;172945	1.0	1.0
meo:MEO_0001070	0;103;57;173199	1.0	1.0
meo:MEO_0001073	0;5;57;173297	1.0	1.0
meo:MEO_0001074	0;19;57;173283	1.0	1.0
meo:MEO_0001087	0;8;57;173294	1.0	1.0
meo:MEO_0001090	0;8;57;173294	1.0	1.0
meo:MEO_0001098	0;15;57;173287	1.0	1.0
meo:MEO_0001099	0;6;57;173296	1.0	1.0
meo:MEO_0001100	0;1;57;173301	1.0	1.0
meo:MEO_0001101	0;1;57;173301	1.0	1.0
meo:MEO_0001104	0;29;57;173273	1.0	1.0
meo:MEO_0001106	0;30;57;173272	1.0	1.0
meo:MEO_0001107	0;5577;57;167725	1.0	1.0
meo:MEO_0001108	0;50;57;173252	1.0	1.0
meo:MEO_0001109	0;3;57;173299	1.0	1.0
meo:MEO_0001113	0;820;57;172482	1.0	1.0
meo:MEO_0001114	0;6;57;173296	1.0	1.0
meo:MEO_0001115	0;23;57;173279	1.0	1.0
meo:MEO_0001117	0;1;57;173301	1.0	1.0
meo:MEO_0001118	0;13;57;173289	1.0	1.0
meo:MEO_0001120	0;42;57;173260	1.0	1.0
meo:MEO_0001124	0;18;57;173284	1.0	1.0
meo:MEO_0001125	0;1;57;173301	1.0	1.0
meo:MEO_0001128	0;4;57;173298	1.0	1.0
meo:MEO_0001131	0;1;57;173301	1.0	1.0
meo:MEO_0001132	0;1;57;173301	1.0	1.0
meo:MEO_0001135	0;52;57;173250	1.0	1.0
meo:MEO_0001136	0;1;57;173301	1.0	1.0
meo:MEO_0001137	0;4;57;173298	1.0	1.0
meo:MEO_0001138	0;1;57;173301	1.0	1.0
meo:MEO_0001140	0;1;57;173301	1.0	1.0
meo:MEO_0001142	0;5;57;173297	1.0	1.0
meo:MEO_0001143	0;1;57;173301	1.0	1.0
meo:MEO_0001144	0;32;57;173270	1.0	1.0
meo:MEO_0001145	0;2;57;173300	1.0	1.0
meo:MEO_0001147	0;3;57;173299	1.0	1.0
meo:MEO_0001150	0;10;57;173292	1.0	1.0
meo:MEO_0001151	0;1;57;173301	1.0	1.0
meo:MEO_0001153	0;23;57;173279	1.0	1.0
meo:MEO_0001155	0;31;57;173271	1.0	1.0
meo:MEO_0001159	0;1;57;173301	1.0	1.0
meo:MEO_0001160	0;1;57;173301	1.0	1.0
meo:MEO_0001163	0;18;57;173284	1.0	1.0
meo:MEO_0001164	0;10;57;173292	1.0	1.0
meo:MEO_0001167	0;36;57;173266	1.0	1.0
meo:MEO_0001170	0;4;57;173298	1.0	1.0
meo:MEO_0001175	0;11;57;173291	1.0	1.0
meo:MEO_0001177	0;2;57;173300	1.0	1.0
meo:MEO_0001178	0;10;57;173292	1.0	1.0
meo:MEO_0001179	0;22;57;173280	1.0	1.0
meo:MEO_0001183	0;5397;57;167905	1.0	1.0
meo:MEO_0001184	0;764;57;172538	1.0	1.0
meo:MEO_0001185	0;2338;57;170964	1.0	1.0
meo:MEO_0001186	0;7;57;173295	1.0	1.0
meo:MEO_0001188	0;2;57;173300	1.0	1.0
meo:MEO_0001190	0;4;57;173298	1.0	1.0
meo:MEO_0001191	0;15;57;173287	1.0	1.0
meo:MEO_0001192	0;105;57;173197	1.0	1.0
meo:MEO_0001195	0;5;57;173297	1.0	1.0
meo:MEO_0001197	0;7;57;173295	1.0	1.0
meo:MEO_0001199	0;3;57;173299	1.0	1.0
meo:MEO_0001200	0;6;57;173296	1.0	1.0
meo:MEO_0001201	0;1;57;173301	1.0	1.0
meo:MEO_0001204	0;1;57;173301	1.0	1.0
meo:MEO_0001205	0;3;57;173299	1.0	1.0
meo:MEO_0001207	0;41;57;173261	1.0	1.0
meo:MEO_0001211	0;3;57;173299	1.0	1.0
meo:MEO_0001212	0;1;57;173301	1.0	1.0
meo:MEO_0001214	0;1;57;173301	1.0	1.0
meo:MEO_0001217	0;2;57;173300	1.0	1.0
meo:MEO_0001219	0;1;57;173301	1.0	1.0
meo:MEO_0001221	0;6120;57;167182	1.0	1.0
meo:MEO_0001226	0;5;57;173297	1.0	1.0
meo:MEO_0001227	0;36;57;173266	1.0	1.0
meo:MEO_0001230	0;1;57;173301	1.0	1.0
meo:MEO_0001232	0;1;57;173301	1.0	1.0
meo:MEO_0001239	0;29;57;173273	1.0	1.0
meo:MEO_0001241	0;7818;57;165484	1.0	1.0
meo:MEO_0001242	0;61;57;173241	1.0	1.0
meo:MEO_0001244	0;3;57;173299	1.0	1.0
meo:MEO_0001245	0;399;57;172903	1.0	1.0
meo:MEO_0001247	0;81;57;173221	1.0	1.0
meo:MEO_0001248	0;30;57;173272	1.0	1.0
meo:MEO_0001250	0;158;57;173144	1.0	1.0
meo:MEO_0001251	0;20;57;173282	1.0	1.0
meo:MEO_0001252	0;215;57;173087	1.0	1.0
meo:MEO_0001253	0;2;57;173300	1.0	1.0
meo:MEO_0001256	0;1061;57;172241	1.0	1.0
meo:MEO_0001258	0;2;57;173300	1.0	1.0
meo:MEO_0001263	0;512;57;172790	1.0	1.0
meo:MEO_0001264	0;134;57;173168	1.0	1.0
meo:MEO_0001265	0;11;57;173291	1.0	1.0
meo:MEO_0001268	0;1;57;173301	1.0	1.0
meo:MEO_0001272	0;1;57;173301	1.0	1.0
meo:MEO_0001276	0;37;57;173265	1.0	1.0
meo:MEO_0001278	0;1327;57;171975	1.0	1.0
meo:MEO_0001279	0;1176;57;172126	1.0	1.0
meo:MEO_0001284	0;2171;57;171131	1.0	1.0
meo:MEO_0001285	0;35646;57;137656	1.0	1.0
meo:MEO_0001297	0;1;57;173301	1.0	1.0
meo:MEO_0001298	0;334;57;172968	1.0	1.0
meo:MEO_0001299	0;2;57;173300	1.0	1.0
meo:MEO_0001303	0;2;57;173300	1.0	1.0
meo:MEO_0001304	0;34470;57;138832	1.0	1.0
meo:MEO_0001306	0;2465;57;170837	1.0	1.0
meo:MEO_0001310	0;1646;57;171656	1.0	1.0
meo:MEO_0001321	0;4;57;173298	1.0	1.0
meo:MEO_0001329	0;2;57;173300	1.0	1.0
meo:MEO_0001330	0;36;57;173266	1.0	1.0
meo:MEO_0001341	0;2240;57;171062	1.0	1.0
meo:MEO_0001348	0;3878;57;169424	1.0	1.0
meo:MEO_0001360	0;186;57;173116	1.0	1.0
meo:MEO_0001366	0;70;57;173232	1.0	1.0
meo:MEO_0001367	0;3;57;173299	1.0	1.0
meo:MEO_0001368	0;30;57;173272	1.0	1.0
meo:MEO_0001369	0;36;57;173266	1.0	1.0
meo:MEO_0001371	0;20;57;173282	1.0	1.0
meo:MEO_0001373	0;94;57;173208	1.0	1.0
meo:MEO_0001374	0;71;57;173231	1.0	1.0
meo:MEO_0001376	0;140;57;173162	1.0	1.0
meo:MEO_0001377	0;2;57;173300	1.0	1.0
meo:MEO_0001378	0;21;57;173281	1.0	1.0
meo:MEO_0001391	0;8;57;173294	1.0	1.0
meo:MEO_0001393	0;21;57;173281	1.0	1.0
meo:MEO_0001396	0;4;57;173298	1.0	1.0
meo:MEO_0001398	0;532;57;172770	1.0	1.0
meo:MEO_0001406	0;36;57;173266	1.0	1.0
meo:MEO_0001407	0;2385;57;170917	1.0	1.0
meo:MEO_0001412	0;1;57;173301	1.0	1.0
meo:MEO_0001415	0;77;57;173225	1.0	1.0
meo:MEO_0001416	0;105;57;173197	1.0	1.0
meo:MEO_0001417	0;6;57;173296	1.0	1.0
meo:MEO_0001422	0;3;57;173299	1.0	1.0
meo:MEO_0001424	0;6;57;173296	1.0	1.0
meo:MEO_0001425	0;18;57;173284	1.0	1.0
meo:MEO_0001426	0;11;57;173291	1.0	1.0
meo:MEO_0001428	0;88;57;173214	1.0	1.0
meo:MEO_0001431	0;66;57;173236	1.0	1.0
meo:MEO_0001432	0;60;57;173242	1.0	1.0
meo:MEO_0001433	0;1;57;173301	1.0	1.0
meo:MEO_0001434	0;15;57;173287	1.0	1.0
meo:MEO_0001435	0;90;57;173212	1.0	1.0
meo:MEO_0001436	0;78;57;173224	1.0	1.0
meo:MEO_0001437	0;29;57;173273	1.0	1.0
meo:MEO_0001440	0;13;57;173289	1.0	1.0
meo:MEO_0001441	0;54;57;173248	1.0	1.0
meo:MEO_0001442	0;3;57;173299	1.0	1.0
meo:MEO_0001443	0;15;57;173287	1.0	1.0
meo:MEO_0001445	0;47;57;173255	1.0	1.0
meo:MEO_0001447	0;12;57;173290	1.0	1.0
meo:MEO_0001448	0;3;57;173299	1.0	1.0
meo:MEO_0001449	0;1;57;173301	1.0	1.0
meo:MEO_0001457	0;58;57;173244	1.0	1.0
meo:MEO_0001458	0;1118;57;172184	1.0	1.0
meo:MEO_0001471	0;2;57;173300	1.0	1.0
meo:MEO_0001474	0;102;57;173200	1.0	1.0
meo:MEO_0001479	0;5;57;173297	1.0	1.0
meo:MEO_0001480	0;9;57;173293	1.0	1.0
meo:MEO_0001481	0;15;57;173287	1.0	1.0
meo:MEO_0001482	0;143;57;173159	1.0	1.0
meo:MEO_0001486	0;37;57;173265	1.0	1.0
meo:MEO_0001487	0;4;57;173298	1.0	1.0
meo:MEO_0001490	0;1;57;173301	1.0	1.0
meo:MEO_0001492	0;32;57;173270	1.0	1.0
meo:MEO_0001494	0;62;57;173240	1.0	1.0
meo:MEO_0001497	0;2;57;173300	1.0	1.0
meo:MEO_0001498	0;111;57;173191	1.0	1.0
meo:MEO_0001500	0;6;57;173296	1.0	1.0
meo:MEO_0001501	0;49;57;173253	1.0	1.0
meo:MEO_0001502	0;235;57;173067	1.0	1.0
meo:MEO_0001503	0;48;57;173254	1.0	1.0
meo:MEO_0001504	0;306;57;172996	1.0	1.0
meo:MEO_0001546	0;26;57;173276	1.0	1.0
meo:MEO_0001565	0;533;57;172769	1.0	1.0
meo:MEO_0001573	0;2;57;173300	1.0	1.0
meo:MEO_0001596	0;5;57;173297	1.0	1.0
meo:MEO_0001615	0;20;57;173282	1.0	1.0
meo:MEO_0001672	0;10;57;173292	1.0	1.0
meo:MEO_0001815	0;6;57;173296	1.0	1.0
meo:MEO_0001826	0;67;57;173235	1.0	1.0
meo:MEO_0001842	0;2;57;173300	1.0	1.0
meo:MEO_0001849	0;219;57;173083	1.0	1.0
meo:MEO_0001851	0;7;57;173295	1.0	1.0
meo:MEO_0001866	0;78;57;173224	1.0	1.0
meo:MEO_0001868	0;2;57;173300	1.0	1.0
meo:MEO_0001926	0;95;57;173207	1.0	1.0
meo:MEO_0001934	0;1;57;173301	1.0	1.0
meo:MEO_0001965	0;1;57;173301	1.0	1.0
meo:MEO_0001989	0;2;57;173300	1.0	1.0
meo:MEO_0001993	0;9;57;173293	1.0	1.0
meo:MEO_0002007	0;10;57;173292	1.0	1.0
meo:MEO_0002011	0;37;57;173265	1.0	1.0
meo:MEO_0002012	0;3;57;173299	1.0	1.0
meo:MEO_0002025	0;15;57;173287	1.0	1.0
meo:MEO_0002027	0;287;57;173015	1.0	1.0
meo:MEO_0002028	0;1;57;173301	1.0	1.0
meo:MEO_0002029	0;22;57;173280	1.0	1.0
meo:MEO_0002032	0;114;57;173188	1.0	1.0
meo:MEO_0002035	0;98;57;173204	1.0	1.0
meo:MEO_0002036	0;1;57;173301	1.0	1.0
meo:MEO_0002039	0;251;57;173051	1.0	1.0
meo:MEO_0002040	0;4;57;173298	1.0	1.0
meo:MEO_0002041	0;95;57;173207	1.0	1.0
meo:MEO_0002047	0;69;57;173233	1.0	1.0
meo:MEO_0002059	0;1;57;173301	1.0	1.0
meo:MEO_0002080	0;2;57;173300	1.0	1.0
meo:MEO_0002084	0;6;57;173296	1.0	1.0
meo:MEO_0002087	0;4;57;173298	1.0	1.0
meo:MEO_0002149	0;1;57;173301	1.0	1.0
meo:MEO_0002182	0;5;57;173297	1.0	1.0
meo:MEO_0002209	0;4;57;173298	1.0	1.0
meo:MEO_0002237	0;106;57;173196	1.0	1.0
meo:MEO_0002238	0;155;57;173147	1.0	1.0
meo:MEO_0002258	0;9;57;173293	1.0	1.0
meo:MEO_0002260	0;5;57;173297	1.0	1.0
meo:MEO_0002275	0;29;57;173273	1.0	1.0
meo:MEO_0002378	0;44;57;173258	1.0	1.0
meo:MEO_0002395	0;1;57;173301	1.0	1.0
meo:MEO_0002435	0;2;57;173300	1.0	1.0
meo:MEO_0002486	0;2;57;173300	1.0	1.0
meo:MEO_0002523	0;19;57;173283	1.0	1.0
meo:MEO_0002529	0;2949;57;170353	1.0	1.0
meo:MEO_0002531	0;11;57;173291	1.0	1.0
meo:MEO_0002534	0;2753;57;170549	1.0	1.0
meo:MEO_0002537	0;3;57;173299	1.0	1.0
meo:MEO_0002538	0;127;57;173175	1.0	1.0
meo:MEO_0002539	0;334;57;172968	1.0	1.0
meo:MEO_0002544	0;1;57;173301	1.0	1.0
meo:MEO_0002546	0;2689;57;170613	1.0	1.0
meo:MEO_0002547	0;1015;57;172287	1.0	1.0
meo:MEO_0002548	0;16720;57;156582	1.0	1.0
meo:MEO_0002549	0;274;57;173028	1.0	1.0
meo:MEO_0002552	0;33;57;173269	1.0	1.0
meo:MEO_0002554	0;3;57;173299	1.0	1.0
meo:MEO_0002589	0;1;57;173301	1.0	1.0
meo:MEO_0002601	0;137;57;173165	1.0	1.0
meo:MEO_0002604	0;51;57;173251	1.0	1.0
meo:MEO_0002610	0;1;57;173301	1.0	1.0
meo:MEO_0002628	0;1;57;173301	1.0	1.0
meo:MEO_0002630	0;9;57;173293	1.0	1.0
meo:MEO_0002631	0;14;57;173288	1.0	1.0
meo:MEO_0002632	0;2456;57;170846	1.0	1.0
meo:MEO_0002633	0;2335;57;170967	1.0	1.0
meo:MEO_0002640	0;46;57;173256	1.0	1.0
meo:MEO_0002641	0;5;57;173297	1.0	1.0
meo:MEO_0002642	0;3;57;173299	1.0	1.0
meo:MEO_0002643	0;17;57;173285	1.0	1.0
meo:MEO_0002644	0;13;57;173289	1.0	1.0
meo:MEO_0002645	0;147;57;173155	1.0	1.0
meo:MEO_0002646	0;29;57;173273	1.0	1.0
meo:MEO_0002647	0;459;57;172843	1.0	1.0
meo:MEO_0002651	0;108;57;173194	1.0	1.0
meo:MEO_0002652	0;95;57;173207	1.0	1.0
meo:MEO_0002654	0;64;57;173238	1.0	1.0
meo:MEO_0002657	0;415;57;172887	1.0	1.0
meo:MEO_0002658	0;3377;57;169925	1.0	1.0
meo:MEO_0002661	0;76;57;173226	1.0	1.0
meo:MEO_0002663	0;51;57;173251	1.0	1.0
meo:MEO_0002664	0;14;57;173288	1.0	1.0
meo:MEO_0002666	0;1;57;173301	1.0	1.0
meo:MEO_0002667	0;1;57;173301	1.0	1.0
meo:MEO_0002668	0;50;57;173252	1.0	1.0
meo:MEO_0002669	0;7;57;173295	1.0	1.0
meo:MEO_0002670	0;4;57;173298	1.0	1.0
meo:MEO_0002671	0;4;57;173298	1.0	1.0
meo:MEO_0002672	0;25;57;173277	1.0	1.0
meo:MEO_0002673	0;6;57;173296	1.0	1.0
meo:MEO_0002674	0;2;57;173300	1.0	1.0
meo:MEO_0002675	0;10;57;173292	1.0	1.0
meo:MEO_0002676	0;1;57;173301	1.0	1.0
meo:MEO_0002677	0;1;57;173301	1.0	1.0
meo:MEO_0002678	0;8;57;173294	1.0	1.0
meo:MEO_0003046	0;5;57;173297	1.0	1.0
